Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,AI ML,Software Engineering,Business Analysis,Data Science,Role
No Experience,Not Interested,Not Interested,Not Interested,,Professional,Not Interested,,Not Interested,Not Interested,Not Interested,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Beginner,Beginner,Beginner,Novice,Novice,,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Average,Excellent,Excellent,Software Developer
Average,Average,Average,Average,Average,Professional,Average,Average,Average,Intermediate,Average,Software Developer
Average,Intermediate,Average,Average,Average,Expert,Average,Average,,Intermediate,Average,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Poor,Intermediate,,Software Developer
Average,Poor,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Excellent,Excellent,Excellent,,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Software Developer
Poor,Poor,,Poor,No Experience,Professional,Poor,Excellent,Poor,No Experience,Poor,Software Developer
Beginner,Entry-level,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Excellent,Excellent,Excellent,Intermediate,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Average,Average,Average,,,Professional,Average,Average,Average,Average,Average,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Poor,Excellent,Excellent,Excellent,Software Developer
Beginner,Entry-level,Beginner,Beginner,Beginner,Advanced,Beginner,Entry-level,Not Interested,Beginner,Novice,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,,Average,Intermediate,Intermediate,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Average,Excellent,Intermediate,Software Developer
Average,Average,Average,Average,Poor,Advanced,Average,Average,Average,Intermediate,Average,Software Developer
No Experience,No Experience,,Not Interested,Poor,Professional,Poor,Poor,Poor,Poor,,Software Developer
Intermediate,Average,Intermediate,,Intermediate,Professional,Not Interested,Competent,,Intermediate,Intermediate,Software Developer
Average,Average,Average,Average,Average,Professional,Average,Average,Intermediate,Intermediate,Average,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Software Developer
Beginner,Beginner,Beginner,Beginner,,Professional,Intermediate,Beginner,Beginner,Beginner,Novice,Software Developer
,Not Interested,Average,Not Interested,,Expert,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Excellent,Intermediate,Excellent,,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Average,Average,Average,Average,Average,Professional,Average,Average,Average,Excellent,Average,Software Developer
Intermediate,Intermediate,Beginner,Competent,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Poor,Poor,Poor,Poor,Average,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Beginner,Beginner,Beginner,Average,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,,Professional,Not Interested,,Not Interested,Not Interested,Not Interested,Software Developer
Average,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,,Not Interested,Not Interested,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Intermediate,Excellent,Excellent,Excellent,Excellent,Software Developer
Entry-level,Beginner,Beginner,Entry-level,Not Interested,Professional,Beginner,Beginner,Novice,,Beginner,Software Developer
Poor,No Experience,Poor,Poor,Poor,Professional,No Experience,No Experience,Poor,Poor,No Experience,Software Developer
Average,Intermediate,Average,Intermediate,Average,Professional,Average,Average,Average,Average,Average,Software Developer
Poor,Excellent,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Excellent,Poor,Excellent,Excellent,Excellent,Expert,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
No Experience,Intermediate,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
,Intermediate,Average,Average,Average,,Average,Average,Average,Average,Average,Software Developer
Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,No Experience,Poor,Software Developer
Beginner,Beginner,Beginner,Beginner,Entry-level,Professional,Average,Beginner,Beginner,Beginner,Beginner,Software Developer
Excellent,Not Interested,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Intermediate,No Experience,Software Developer
,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Not Interested,Not Interested,,Not Interested,,Professional,Not Interested,Not Interested,,,Average,Software Developer
Average,Poor,Poor,Poor,No Experience,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Poor,Competent,Intermediate,Intermediate,Software Developer
Intermediate,Competent,Not Interested,Average,Average,Professional,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Not Interested,,Software Developer
,Competent,Competent,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Entry-level,Intermediate,Software Developer
Poor,Poor,Not Interested,Poor,Poor,Expert,Poor,Poor,,Poor,Poor,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,,Excellent,Beginner,Excellent,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Advanced,Excellent,Excellent,Excellent,Excellent,Average,Software Developer
Poor,Beginner,No Experience,Poor,No Experience,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Entry-level,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Entry-level,Intermediate,Beginner,Beginner,Software Developer
Beginner,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Poor,Poor,No Experience,Poor,Poor,Professional,No Experience,Poor,No Experience,Excellent,No Experience,Software Developer
Excellent,Excellent,Not Interested,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Poor,Poor,,Poor,No Experience,Professional,Poor,Poor,Poor,Poor,Poor,Software Developer
Excellent,Excellent,Excellent,,Excellent,Professional,Excellent,Excellent,Poor,Excellent,Excellent,Software Developer
Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Software Developer
Average,Average,Average,Average,Average,Professional,Intermediate,Average,Average,Average,Intermediate,Software Developer
Excellent,Excellent,Excellent,Excellent,Not Interested,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
,No Experience,Not Interested,Not Interested,Not Interested,Professional,Not Interested,,Not Interested,Not Interested,Not Interested,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Poor,Professional,Intermediate,Intermediate,Average,Intermediate,Intermediate,Software Developer
No Experience,,Poor,Poor,Poor,Professional,,Poor,Poor,Poor,,Software Developer
Intermediate,Intermediate,Intermediate,Competent,Intermediate,Professional,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Software Developer
No Experience,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Average,Intermediate,Competent,,Intermediate,Software Developer
Not Interested,Average,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,,Not Interested,Software Developer
Average,Intermediate,Average,Average,Average,Professional,Average,,Average,Average,Average,Software Developer
Average,Intermediate,Intermediate,Intermediate,Average,Professional,Intermediate,Intermediate,,Intermediate,Poor,Software Developer
Beginner,Beginner,Beginner,Beginner,,Professional,Beginner,Beginner,Novice,Beginner,Beginner,Software Developer
Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Beginner,Poor,Poor,Software Developer
Professional,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Database Administrator
Professional,Poor,,Poor,Poor,Poor,Poor,Poor,Poor,Excellent,No Experience,Database Administrator
Expert,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Poor,Beginner,Beginner,Database Administrator
Professional,Competent,Poor,Poor,Poor,No Experience,Poor,Poor,,Poor,Poor,Database Administrator
,Average,Average,Poor,Intermediate,Average,Average,Average,,Average,Average,Database Administrator
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,,Competent,Intermediate,Database Administrator
Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Database Administrator
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,,,Intermediate,Database Administrator
,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Database Administrator
Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,,Database Administrator
Professional,,No Experience,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Database Administrator
Professional,Average,Average,Average,Average,Intermediate,Average,Intermediate,Beginner,Average,Average,Database Administrator
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Database Administrator
Professional,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Database Administrator
Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Database Administrator
Professional,Excellent,,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Database Administrator
Professional,Poor,Poor,Poor,Poor,,Poor,Poor,Not Interested,Poor,No Experience,Database Administrator
Professional,Beginner,Beginner,Excellent,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Database Administrator
Excellent,,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Database Administrator
,Poor,Poor,No Experience,Poor,Poor,,Poor,Poor,Poor,Poor,Database Administrator
Professional,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Database Administrator
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Professional,Average,Intermediate,Average,Average,Average,Intermediate,,Average,Average,Average,Database Administrator
Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Database Administrator
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Beginner,Excellent,Excellent,Excellent,Database Administrator
Expert,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Professional,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,,Database Administrator
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Professional,Intermediate,Intermediate,Competent,Intermediate,Poor,Intermediate,Intermediate,Intermediate,Intermediate,,Database Administrator
Professional,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Excellent,Poor,Poor,Database Administrator
Professional,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Database Administrator
Professional,Average,,Intermediate,Excellent,Average,Average,Intermediate,Average,Average,Average,Database Administrator
