Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Data Science,Troubleshooting skills,Role
Not Interested,Beginner,Beginner,Beginner,Advanced,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Networking Engineer
Average,Average,Beginner,Intermediate,Average,Average,Average,Average,Average,Professional,Intermediate,Average,Average,Intermediate,Average,Technical Writer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Customer Service Executive
Poor,Poor,Poor,Poor,Poor,Beginner,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Professional,,Not Interested,Business Analyst
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Poor,Customer Service Executive
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,,AI ML Specialist
Excellent,Professional,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,,Excellent,Excellent,,Hardware Engineer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,,Intermediate,,Intermediate,Professional,Intermediate,Data Scientist
Intermediate,,Average,Excellent,Average,Professional,Intermediate,,Average,Average,Average,Average,Average,Average,Average,Software Developer
Beginner,Beginner,Beginner,Beginner,,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Average,Beginner,Software Developer
Intermediate,Competent,Intermediate,Intermediate,Intermediate,Professional,Average,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Competent,Software Developer
Professional,Excellent,Excellent,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Beginner,Database Administrator
Poor,Poor,,Poor,No Experience,Professional,Poor,Poor,Poor,Poor,Excellent,Poor,No Experience,Poor,Poor,Software Developer
Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Average,Professional,Helpdesk Engineer
Average,Average,Average,Average,Average,Professional,Intermediate,Average,Intermediate,Average,Intermediate,Average,Intermediate,Average,Average,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,API Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Average,,Average,Average,Average,Average,Average,Intermediate,Average,Intermediate,Average,Average,,Average,Excellent,Customer Service Executive
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Information Security Specialist
Professional,N/A,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,None,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Database Administrator
Intermediate,Intermediate,Intermediate,Intermediate,Average,,Intermediate,Intermediate,Intermediate,Average,Intermediate,,Not Interested,Intermediate,Competent,Customer Service Executive
,No Experience,Not Interested,,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,No Experience,Not Interested,Not Interested,Not Interested,AI ML Specialist
Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Not Interested,Average,Average,Average,Hardware Engineer
Poor,Poor,Excellent,No Experience,Poor,,Advanced,Poor,Poor,Poor,,Poor,No Experience,Poor,Poor,Helpdesk Engineer
Beginner,Beginner,,Not Interested,Beginner,Beginner,Advanced,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Entry-level,Beginner,API Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,API Specialist
Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,AI ML Specialist
Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,N/A,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Database Administrator
Not Interested,Not Interested,Not Interested,,Professional,Not Interested,Not Interested,,,,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Networking Engineer
,Average,Average,Average,Average,Average,,Average,Average,Average,Average,Average,Beginner,Average,Intermediate,Customer Service Executive
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Professional,Intermediate,Intermediate,Intermediate,Competent,AI ML Specialist
,Entry-level,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Customer Service Executive
N/A,Professional,N/A,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,N/A,Beginner,Not Interested,None,Not Interested,Hardware Engineer
Poor,Professional,Poor,No Experience,Poor,Poor,Poor,Poor,Not Interested,Poor,Poor,Poor,Poor,No Experience,Poor,Hardware Engineer
,Beginner,,Beginner,Beginner,,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Excellent,AI ML Specialist
Not Interested,Not Interested,None,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Helpdesk Engineer
Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Average,Average,Average,Average,Beginner,Customer Service Executive
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Professional,,Excellent,Not Interested,Software tester
Beginner,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Expert,Poor,Poor,Business Analyst
Professional,Intermediate,Intermediate,,Intermediate,Intermediate,,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Database Administrator
Average,Average,Intermediate,Average,Professional,Average,Intermediate,Average,Average,Average,Average,Average,Poor,Average,Average,Networking Engineer
Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Business Analyst
Excellent,Excellent,Excellent,Excellent,Advanced,Excellent,Beginner,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Networking Engineer
,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Not Interested,Beginner,Beginner,Beginner,Entry-level,Beginner,Entry-level,Beginner,Database Administrator
Excellent,Beginner,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Software Developer
Excellent,Excellent,Excellent,Advanced,Excellent,Excellent,,Excellent,,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Poor,Professional,Poor,Poor,Poor,Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Hardware Engineer
Excellent,Professional,Excellent,Excellent,Excellent,,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Helpdesk Engineer
Not Interested,Not Interested,Not Interested,Not Interested,None,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Data Scientist
Intermediate,Intermediate,,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Graphics Designer
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Average,Poor,Professional,Helpdesk Engineer
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Software tester
Average,Average,Average,Average,Average,Average,Average,Average,Average,Advanced,Average,Average,Average,None,Average,Technical Writer
Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,None,Data Scientist
Not Interested,No Experience,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Professional,Helpdesk Engineer
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,,Beginner,Beginner,Excellent,Beginner,Professional,Beginner,Beginner,Business Analyst
Poor,Poor,Poor,Professional,Poor,Not Interested,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,No Experience,Cyber Security Specialist
Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,No Experience,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Advanced,,Not Interested,Not Interested,Not Interested,Not Interested,Technical Writer
Average,Intermediate,Average,Intermediate,Average,,Average,Average,Average,Intermediate,Average,Average,,Average,Average,Graphics Designer
Professional,Average,Intermediate,Average,Average,Average,Intermediate,Average,Average,Average,,Average,Average,Average,Average,Database Administrator
Intermediate,Competent,Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Professional,Intermediate,Intermediate,,Intermediate,Beginner,Technical Writer
Poor,No Experience,Poor,No Experience,Poor,Professional,,Poor,No Experience,No Experience,Poor,,Poor,,Poor,Software Developer
Average,Average,Average,Intermediate,Average,Average,Average,Poor,Average,Average,Average,Average,Average,Average,Professional,Helpdesk Engineer
Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,AI ML Specialist
Intermediate,Average,Average,Average,Excellent,Average,Intermediate,Intermediate,Professional,Average,Intermediate,Average,Average,Average,Average,Information Security Specialist
Professional,Average,Intermediate,Not Interested,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Average,Intermediate,Intermediate,Database Administrator
Intermediate,Not Interested,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Average,Competent,Business Analyst
Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Hardware Engineer
Average,Average,Intermediate,Beginner,,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,API Specialist
Average,Average,Poor,Average,Average,Average,Professional,Intermediate,Average,Average,Average,Average,Average,Average,Average,API Specialist
Entry-level,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Hardware Engineer
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Beginner,Professional,Not Interested,,Beginner,Beginner,Beginner,Beginner,Information Security Specialist
Advanced,Beginner,,Beginner,Beginner,Not Interested,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Database Administrator
Beginner,Beginner,Beginner,Not Interested,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Networking Engineer
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Information Security Specialist
Not Interested,Professional,None,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Hardware Engineer
Intermediate,Average,Competent,Intermediate,Intermediate,Intermediate,Average,Average,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Competent,AI ML Specialist
Beginner,Beginner,Entry-level,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Customer Service Executive
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,,Not Interested,No Experience,Not Interested,Not Interested,Technical Writer
Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Database Administrator
Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No Experience,Software Developer
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Intermediate,Excellent,,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Expert,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Average,API Specialist
Beginner,Professional,Beginner,,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Beginner,Beginner,Hardware Engineer
